iter	MultiClass
0	1.480359061
1	1.387796489
2	1.313149038
3	1.245667469
4	1.188203549
5	1.144812694
6	1.101683441
7	1.067335494
8	1.035907116
9	1.006922728
10	0.981500581
11	0.9585106749
12	0.9391523187
13	0.9218927499
14	0.9066267795
15	0.8912971371
16	0.8790278827
17	0.8652483242
18	0.8532191764
19	0.8403333334
20	0.8277654998
21	0.8185088714
22	0.8128256852
23	0.8058315696
24	0.7974568048
25	0.7887433914
26	0.780442266
27	0.773738007
28	0.7647385007
29	0.7600341698
30	0.7550081848
31	0.7487479012
32	0.7436683607
33	0.7377476668
34	0.7326316913
35	0.7272011288
36	0.7231933069
37	0.7193743131
38	0.7139825896
39	0.7088966478
40	0.7053078785
41	0.7003816498
42	0.6987345646
43	0.6940130227
44	0.6897577179
45	0.6858114302
46	0.6836570335
47	0.6805112462
48	0.67760506
49	0.6749292606
50	0.6711630222
51	0.6678705645
52	0.6645630376
53	0.6608591149
54	0.6588403234
55	0.6562827253
56	0.6534915402
57	0.651143051
58	0.6478178707
59	0.6455952858
60	0.643479203
61	0.6405639828
62	0.6384786857
63	0.6359734544
64	0.6333618653
65	0.6306636463
66	0.6291640369
67	0.6271566816
68	0.6242592678
69	0.6222589461
70	0.6197675948
71	0.6181689962
72	0.6155116657
73	0.6128764668
74	0.6095438317
75	0.607373451
76	0.6062446278
77	0.6036430377
78	0.6021730016
79	0.5999757416
80	0.5977149733
81	0.5955980015
82	0.5932283914
83	0.5913828818
84	0.5897653023
85	0.5883630179
86	0.5864435174
87	0.585252712
88	0.5833516322
89	0.5814312872
90	0.5793685696
91	0.5774108487
92	0.5749796148
93	0.5726344654
94	0.5699752704
95	0.5680869681
96	0.5662165107
97	0.564367743
98	0.5623968953
99	0.5606033894
100	0.5588736966
101	0.5565461807
102	0.5547948712
103	0.5538512606
104	0.5523260081
105	0.5503246804
106	0.5480109233
107	0.5459190575
108	0.5440928638
109	0.5426052059
110	0.5402255854
111	0.5383116082
112	0.5372766605
113	0.5354053215
114	0.5338711973
115	0.5328398217
116	0.5306482411
117	0.5291247916
118	0.5275581729
119	0.5264511466
120	0.5253010015
121	0.5240028522
122	0.5225223228
123	0.5211631731
124	0.5190264202
125	0.5182817061
126	0.5171771627
127	0.5162094939
128	0.5148980195
129	0.5137811869
130	0.5126219821
131	0.5112545874
132	0.5099231585
133	0.5088820054
134	0.5079072791
135	0.5058763087
136	0.5052843332
137	0.5041000048
138	0.5029713006
139	0.5012767324
140	0.5004573643
141	0.4996045151
142	0.4983635308
143	0.4970351149
144	0.4962958393
145	0.4952500192
146	0.4938360113
147	0.492730446
148	0.4912111286
149	0.4902843707
150	0.4892865287
151	0.4885217345
152	0.4876114017
153	0.4864370003
154	0.4847701664
155	0.4833434771
156	0.48140281
157	0.479743056
158	0.4789283262
159	0.4772405416
160	0.4759261847
161	0.4752167107
162	0.4743750003
163	0.4737492235
164	0.4727486522
165	0.4715854925
166	0.4702661752
167	0.4695519361
168	0.4681080871
169	0.4673708828
170	0.4656565564
171	0.4643569444
172	0.4625837831
173	0.4616888675
174	0.4611474006
175	0.4600474502
176	0.4592371066
177	0.4587107675
178	0.4576842724
179	0.4568429081
180	0.4556202717
181	0.4548185195
182	0.453940323
183	0.4526919915
184	0.4515037409
185	0.450103993
186	0.4490058112
187	0.4479897038
188	0.4461544335
189	0.4455526754
190	0.4447767189
191	0.4440303153
192	0.4434010451
193	0.4423649603
194	0.4409899297
195	0.4403765231
196	0.4394641737
197	0.4386904219
198	0.4379287151
199	0.4366989282
200	0.4350031494
201	0.4336695535
202	0.4330307374
203	0.4324996988
204	0.4313842743
205	0.4297772353
206	0.4285776391
207	0.4277357609
208	0.4271435829
209	0.4263362572
210	0.4256715124
211	0.4241772
212	0.4233018078
213	0.421990451
214	0.4211571398
215	0.4200582814
216	0.4192455307
217	0.418711796
218	0.4179677401
219	0.4174222145
220	0.4169214413
221	0.4164409146
222	0.4150741763
223	0.4136985032
224	0.4128235443
225	0.412418449
226	0.4114867462
227	0.4106654262
228	0.4092429266
229	0.4088752206
230	0.4080421765
231	0.4070324042
232	0.405437139
233	0.4047127919
234	0.4043723264
235	0.4033822393
236	0.4027212619
237	0.4017187554
238	0.4006669302
239	0.4003916059
240	0.3993654654
