iter	Passed	Remaining
0	50	50467
1	55	27590
2	61	20398
3	67	16723
4	72	14412
5	78	12962
6	84	12016
7	89	11094
8	94	10358
9	98	9757
10	102	9255
11	107	8853
12	112	8505
13	116	8179
14	120	7898
15	125	7699
16	129	7476
17	133	7293
18	137	7091
19	141	6932
20	145	6775
21	149	6626
22	152	6483
23	157	6385
24	160	6272
25	164	6173
26	168	6070
27	172	5993
28	176	5896
29	179	5809
30	182	5719
31	186	5631
32	188	5537
33	191	5453
34	194	5358
35	197	5300
36	200	5211
37	203	5156
38	206	5099
39	209	5036
40	212	4980
41	215	4913
42	218	4868
43	222	4832
44	225	4792
45	229	4751
46	233	4729
47	238	4720
48	243	4732
49	248	4723
50	252	4705
51	257	4693
52	262	4690
53	266	4669
54	271	4662
55	276	4666
56	281	4663
57	286	4649
58	291	4641
59	294	4607
60	297	4575
61	300	4543
62	304	4534
63	308	4517
64	312	4490
65	315	4469
66	320	4458
67	324	4450
68	329	4440
69	334	4448
70	339	4436
71	343	4425
72	347	4409
73	351	4396
74	356	4395
75	361	4389
76	364	4374
77	369	4368
78	373	4359
79	377	4345
80	381	4329
81	386	4321
82	390	4316
83	394	4299
84	397	4279
85	400	4260
86	404	4241
87	406	4217
88	411	4207
89	414	4186
90	416	4164
91	420	4145
92	422	4122
93	425	4101
94	429	4087
95	432	4073
96	436	4059
97	439	4045
98	442	4028
99	445	4009
100	448	3991
101	451	3975
102	454	3957
103	457	3939
104	460	3925
105	463	3913
106	468	3912
107	472	3906
108	477	3901
109	480	3887
110	483	3875
111	487	3863
112	490	3852
113	493	3836
114	496	3823
115	500	3814
116	504	3809
117	508	3800
118	512	3790
119	516	3786
120	520	3781
121	523	3767
122	526	3757
123	530	3746
124	533	3732
125	535	3717
126	538	3704
127	542	3695
128	545	3682
129	548	3671
130	551	3660
131	554	3647
132	557	3631
133	560	3620
134	563	3610
135	566	3600
136	570	3591
137	574	3590
138	578	3584
139	582	3577
140	586	3570
141	590	3564
142	593	3556
143	597	3550
144	601	3545
145	604	3537
146	608	3529
147	611	3520
148	614	3511
149	617	3499
150	620	3489
151	623	3479
152	626	3469
153	629	3459
154	633	3453
155	637	3448
156	640	3439
157	643	3429
158	646	3418
159	649	3408
160	652	3400
161	655	3389
162	657	3376
163	660	3365
164	663	3355
165	665	3345
166	668	3333
167	670	3322
168	673	3312
169	675	3300
170	678	3288
171	680	3275
172	683	3266
173	685	3254
174	688	3245
175	690	3234
176	693	3222
177	695	3211
178	697	3200
179	700	3189
180	703	3181
181	705	3170
182	708	3163
183	711	3154
184	713	3143
185	716	3134
186	718	3124
187	721	3117
